,by,descendants,id,kids,score,time,title,type,url,text
0,klelatti,19.0,37996295,"[37996820, 37996647, 37996612, 37996592, 37996566, 37996799, 37996823, 37996505, 37996760, 37996560, 37996667]",82,1698136545,Major Changes at RISC-V Designer SiFive,story,https://morethanmoore.substack.com/p/the-risk-of-risc-v-whats-going-on,
1,ingve,56.0,37995155,"[37995493, 37995764, 37996623, 37995625, 37996110, 37996769, 37996115, 37996175, 37995634, 37995693, 37995673, 37996017, 37995644, 37995602, 37996342, 37995755, 37995574, 37996113, 37996156]",132,1698125951,Unified versus Split Diff,story,https://matklad.github.io/2023/10/23/unified-vs-split-diff.html,
2,quyleanh,149.0,37993575,"[37996106, 37994363, 37996545, 37995366, 37994225, 37994435, 37994305, 37993938, 37995726, 37994132, 37993977, 37995796, 37995010, 37993890, 37994422, 37995544, 37996142, 37993982, 37994843, 37995476, 37995912, 37994292, 37996284, 37995581, 37994410, 37995170, 37996126, 37994937, 37995989, 37995446, 37995706, 37994730, 37994098, 37995697, 37994371, 37994130, 37994220, 37993881]",334,1698107895,SumatraPDF Reader,story,https://github.com/sumatrapdfreader/sumatrapdf,
3,zicon35,19.0,37995761,"[37996882, 37995769, 37996343, 37996217, 37996226, 37996058, 37996392]",68,1698132179,Show HN: Revert – open-source unified API for product integrations,story,https://github.com/revertinc/revert,
4,raytopia,3.0,37995718,[37996646],22,1698131901,Writing games the blog dedicated to text-based gaming,story,https://writing-games.com/,
5,arun-mani-j,8.0,37996655,"[37996889, 37996915, 37996888, 37996879, 37996878]",8,1698139655,Email Address Regular Expression That 99.99% Works,story,https://emailregex.com/index.html,
6,quyleanh,100.0,37995119,"[37995663, 37996164, 37995955, 37996768, 37995798, 37996884, 37995837, 37995611, 37996739, 37995838, 37996252, 37996756, 37995600, 37996240, 37996264, 37995713, 37996716, 37995612, 37996466, 37995770, 37995802, 37996337, 37995586, 37996162, 37996429, 37995698, 37995566, 37996532, 37995666, 37996024, 37995578]",176,1698125632,NASA just sent a software update to a spacecraft 12B miles away,story,https://bgr.com/science/nasa-just-sent-a-software-update-to-a-spacecraft-12-billion-miles-away/,
7,ljf,15.0,37996123,"[37996858, 37996894, 37996606]",28,1698135320,"World shift to clean energy is unstoppable, IEA report says",story,https://www.bbc.com/news/science-environment-67198206,
8,jruohonen,1.0,37996721,[37996722],10,1698140170,Americans' confidence in technology firms has dropped,story,https://www.brookings.edu/articles/how-americans-confidence-in-technology-firms-has-dropped-evidence-from-the-second-wave-of-the-american-institutional-confidence-poll/,
9,jdblair,123.0,37991746,"[37996865, 37995273, 37992973, 37994347, 37996207, 37992244, 37993722, 37992616, 37994601, 37992887, 37992604, 37994799, 37993589, 37993029, 37994776, 37993071, 37992317, 37992328, 37992141, 37992214, 37996376]",188,1698095985,Marcel the Shell,story,https://www.marceltheshell.org,
10,tolarewaju3,37.0,37992513,"[37996738, 37995346, 37995272, 37994081, 37994532, 37995820, 37994001, 37994878, 37995214]",97,1698100365,Show HN: Roadmap – A Personal Growth Game for Social Anxiety,story,https://www.roadmaptogrow.com,
11,gkeechin,39.0,37993202,"[37994207, 37994672, 37994310, 37996036, 37994948, 37995013, 37994412, 37996189]",110,1698105172,How to Build Your Own AI-Generated Images with ControlNet and Stable Diffusion,story,https://www.datature.io/blog/how-to-build-your-own-ai-generated-image-with-controlnet-and-stable-diffusion,
12,lxm,118.0,37994387,"[37994965, 37996198, 37994954, 37995140, 37996503, 37995861, 37995707, 37995071, 37995012]",125,1698116084,Psychedelic Mushrooms Hit the Market in Oregon,story,https://www.nytimes.com/2023/10/23/us/oregon-psychedelic-mushrooms.html,
13,todsacerdoti,140.0,37991295,"[37995079, 37992375, 37994161, 37991580, 37991953, 37994232, 37991630, 37992088, 37993799, 37992820, 37992551, 37992494]",208,1698093739,How does macOS manage virtual cores on Apple Silicon?,story,https://eclecticlight.co/2023/10/23/how-does-macos-manage-virtual-cores-on-apple-silicon/,
14,thatxliner,36.0,37994725,"[37995160, 37995122, 37996473, 37995311, 37994949, 37995365, 37994916, 37996582, 37995701, 37994896, 37995589, 37996383, 37995329, 37995321, 37995720, 37995124, 37994909, 37996400]",133,1698119832,Writerside – a new technical writing environment from JetBrains,story,https://www.jetbrains.com/writerside/,
15,zacharyvoase,67.0,37991695,"[37995801, 37994736, 37996118, 37995078, 37994074, 37994320, 37996767, 37994560, 37994078, 37995845, 37996611, 37993848, 37995617, 37994340, 37994607, 37993808, 37994957, 37995413, 37994392, 37993798, 37994051, 37994049, 37994350, 37993744, 37994099]",145,1698095692,"Show HN: WebSession, a Secure Replacement for Cookies",story,https://websession.dev/,
16,BerislavLopac,13.0,37995916,"[37996570, 37996605, 37996529, 37996506, 37996335]",25,1698133575,Amazon's Fallout TV series gets a 2024 release date,story,https://arstechnica.com/gaming/2023/10/amazons-fallout-tv-series-gets-a-2024-release-date/,
17,matsz,32.0,37990646,"[37992556, 37995264, 37996598, 37993767, 37994304, 37991264, 37992156, 37992086]",100,1698090662,COBOL on Wheelchair: Micro web-framework for COBOL,story,https://github.com/azac/cobol-on-wheelchair/blob/master/tutorial/index.md,
18,simonpure,95.0,37993702,"[37996816, 37995865, 37995876, 37994218, 37994108, 37994852, 37994481, 37994511, 37994265, 37994273, 37995409, 37996075]",192,1698108956,"1Password detects ""suspicious activity"" in its internal Okta account",story,https://arstechnica.com/security/2023/10/1password-detects-suspicious-activity-in-its-internal-okta-account/,
19,rcarmo,145.0,37982621,"[37989536, 37985185, 37984055, 37984175, 37984126, 37985230, 37984086, 37995871, 37984982, 37987347, 37993457, 37995218, 37996183, 37995267, 37991618, 37987830, 37987167, 37991179, 37991270, 37983986, 37986410, 37987191, 37985168, 37984805, 37983878, 37984749, 37983899]",850,1698047084,Protomaps – A free and open source map of the world,story,https://protomaps.com/,
20,jnieminen,33.0,37990621,"[37993705, 37993998, 37994116, 37994559, 37993364]",90,1698090528,iOS Single App Mode Escape,story,https://labs.withsecure.com/advisories/single-app-mode-bypass,
21,matt_d,17.0,37989773,"[37990876, 37991344, 37993959, 37990177, 37992984, 37990491, 37990356]",147,1698086345,Cascade: CPU fuzzing via intricate program generation,story,https://comsec.ethz.ch/research/hardware-design-security/cascade-cpu-fuzzing-via-intricate-program-generation/,
22,haltist,29.0,37994740,"[37994883, 37994984, 37994839, 37994815, 37996168]",33,1698120090,Systematic Review of the Neurocognitive Effects of Cannabis Use in Older Adults,story,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7259587/,
23,pseudolus,38.0,37993969,"[37995229, 37995447, 37995149, 37995212, 37994501, 37995178]",65,1698111536,"NASA wants the Voyagers to age gracefully, so it's time for a software patch",story,https://arstechnica.com/space/2023/10/nasa-wants-the-voyagers-to-age-gracefully-so-its-time-for-a-software-patch/,
24,mooreds,49.0,37984404,"[37989764, 37985383, 37984957, 37987510, 37993496, 37993269, 37984495, 37989170, 37984943]",250,1698062052,Java implementation of a quantum computing resistant cryptographic algorithm,story,https://github.com/mthiim/dilithium-java,
25,marc__1,97.0,37992104,"[37994741, 37993858, 37993857, 37995526, 37996522, 37993676, 37994408, 37995710, 37996384, 37995505, 37995216, 37993893, 37994180, 37993262, 37993542, 37993922, 37993561]",119,1698098093,Nvidia to Challenge Intel with Arm-Based Processors for PCs,story,https://www.bloomberg.com/news/articles/2023-10-23/nvidia-to-take-on-intel-with-arm-based-pc-chips-reuters-says,
26,PaulHoule,0.0,37995384,,13,1698128533,GM delays $4B EV truck factory plan by another year,story,https://techcrunch.com/2023/10/17/gm-delays-4b-ev-truck-factory-plan-by-another-year/,
27,ryanb,,37988423,,1,1698080471,RankScience (YC W17) is Hiring SDRs to help startups grow SEO,job,https://remotejobs.org/companies/rankscience-remote-jobs,
28,Etesam,6.0,37992481,"[37996208, 37996663, 37996801, 37995652, 37996277]",21,1698100178,"Show HN: React-magic-motion, a package to automatically animate your components",story,https://www.react-magic-motion.com/,"react-magic-motion is a npm package for react.js that gives you a component named &lt;MagicMotion&gt;. All children of this MagicMotion tag will have all their layout changes animated.<p>This automatic animation built on top of framer-motion, so that means that you will get all of its features as well (spring animation, shared layout animations, etc...).<p><a href=""https:&#x2F;&#x2F;www.react-magic-motion.com&#x2F;"" rel=""nofollow noreferrer"">https:&#x2F;&#x2F;www.react-magic-motion.com&#x2F;</a><p><a href=""https:&#x2F;&#x2F;github.com&#x2F;etesam913&#x2F;react-magic-motion"">https:&#x2F;&#x2F;github.com&#x2F;etesam913&#x2F;react-magic-motion</a>"
29,kuba-orlik,83.0,37977632,"[37979411, 37978280, 37978121, 37978099, 37978185, 37979234, 37977995, 37979037, 37983901, 37977888, 37978667, 37977668, 37981327, 37977723, 37978653, 37978606, 37979796]",223,1697997925,The Lessons of Lucasfilm's Habitat (1990),story,https://web.stanford.edu/class/history34q/readings/Virtual_Worlds/LucasfilmHabitat.html,
30,rebelwebmaster,86.0,37989815,"[37995669, 37990333, 37993604, 37995819, 37996073, 37994185, 37995094, 37995638, 37994413, 37991188, 37994664]",126,1698086532,Chrome Removing Theora Support,story,https://groups.google.com/a/chromium.org/g/blink-dev/c/qqDdLkeyk7Y/m/ajHePzglAwAJ,
31,simonebrunozzi,82.0,37991401,"[37994226, 37994313, 37993696, 37994748, 37994171, 37993592, 37994276, 37996772, 37995039, 37996014, 37993489, 37994589, 37995942, 37993877, 37995302, 37994208, 37993794, 37993958, 37995297, 37995900, 37993475, 37993761]",144,1698094215,Two Kinds of Techno-Optimism,story,https://garymarcus.substack.com/p/two-kinds-of-techno-optimism,
32,milkers,52.0,37985777,"[37988465, 37987287, 37992778, 37987871, 37988631, 37987569, 37988697, 37987757, 37988445, 37989198, 37988037, 37987909]",180,1698069707,MSW 2.0 – Mock Service Worker,story,https://mswjs.io/blog/introducing-msw-2.0/,
33,kevincox,234.0,37982149,"[37983770, 37983215, 37983121, 37988061, 37983466, 37982469, 37987090, 37983163, 37982649, 37996553, 37983414, 37982500, 37986660, 37984347, 37985901, 37986500, 37983452, 37983262, 37985524, 37989195, 37989893, 37986237, 37983760, 37985928, 37990444, 37985166, 37990514, 37984013, 37984509, 37990192, 37984016, 37986462, 37986269, 37990589, 37985184, 37985945, 37990434, 37984312, 37982816, 37994283, 37990388, 37985158, 37991437, 37985180, 37984596, 37982658, 37985217, 37985428, 37983083, 37993608, 37983428, 37983768, 37985520, 37991713]",351,1698041473,Cooler screens,story,https://computer.rip/2023-10-22-cooler-screens.html,
34,luu,54.0,37979930,"[37987380, 37988083, 37989616, 37987416, 37987125, 37994533, 37990918, 37987798, 37987245, 37991219, 37993275, 37987390, 37988410, 37987792, 37989866, 37987352]",114,1698016465,The heaviness of maintaining systems,story,https://pcable.net/posts/2020-02-29-heaviness-of-systems/,
35,sgallant,31.0,37988585,"[37990540, 37994917, 37989548, 37990624, 37991591, 37990485, 37989871, 37993774, 37990953, 37989646, 37990326, 37994082, 37989295, 37995241]",113,1698081093,Trying out TinaCMS,story,https://blog.cassidoo.co/post/trying-tinacms/,
